date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2014-01-10,sz.399300,2216.521,2224.494,2200.215,2204.851,2222.221,5416929300,47572309533.0,3,0.002615,1,-0.781645,,,,,0
2014-01-13,sz.399300,2206.996,2222.072,2183.597,2193.679,2204.851,5012277200,46123003754.0,3,0.00242,1,-0.506706,,,,,0
2014-01-14,sz.399300,2192.844,2214.124,2179.908,2212.846,2193.679,5404994700,46785099888.0,3,0.00261,1,0.873737,,,,,0
2014-01-15,sz.399300,2210.024,2215.903,2193.802,2208.941,2212.846,4896239500,45755914348.0,3,0.002364,1,-0.176471,,,,,0
2014-01-16,sz.399300,2209.448,2227.262,2201.56,2211.844,2208.941,5229890200,49842784005.0,3,0.002525,1,0.131424,,,,,0
2014-01-17,sz.399300,2203.821,2205.972,2175.876,2178.488,2211.844,5027315500,46268159163.0,3,0.002427,1,-1.508061,,,,,0
2014-01-20,sz.399300,2173.651,2182.463,2156.458,2165.993,2178.488,4056015400,39157227541.0,3,0.001958,1,-0.573568,,,,,0
2014-01-21,sz.399300,2168.42,2197.923,2168.42,2187.41,2165.993,4030624700,38590992772.0,3,0.001946,1,0.988784,,,,,0
2014-01-22,sz.399300,2190.432,2244.133,2187.534,2243.796,2187.41,7064137500,64803357078.0,3,0.003411,1,2.577751,,,,,0
2014-01-23,sz.399300,2242.245,2248.924,2228.057,2231.889,2243.796,5634595100,55726417393.0,3,0.00272,1,-0.530662,,,,,0
2014-01-24,sz.399300,2225.758,2257.355,2222.893,2245.678,2231.889,6116767000,59563444873.0,3,0.002953,1,0.61782,,,,,0
2014-01-27,sz.399300,2233.015,2233.231,2211.799,2215.919,2245.678,7034424600,63503992484.0,3,0.003395,1,-1.325169,,,,,0
2014-01-28,sz.399300,2220.785,2233.257,2205.972,2219.855,2215.919,5326913000,49408754555.0,3,0.002571,1,0.177625,,,,,0
2014-01-29,sz.399300,2225.711,2233.057,2219.928,2227.781,2219.855,5022271700,48788682770.0,3,0.002424,1,0.357052,,,,,0
2014-01-30,sz.399300,2223.163,2223.163,2200.224,2202.45,2227.781,4363230400,43475960839.0,3,0.002104,1,-1.137053,,,,,0
2014-02-07,sz.399300,2187.343,2212.498,2177.117,2212.483,2202.45,5045931500,49597106433.0,3,0.002433,1,0.455536,,,,,0
2014-02-10,sz.399300,2221.54,2270.194,2221.54,2267.534,2212.483,8306571600,81103244127.0,3,0.004006,1,2.488201,,,,,0
2014-02-11,sz.399300,2267.735,2296.516,2262.599,2285.562,2267.534,9922982900,92688969126.0,3,0.004785,1,0.795052,,,,,0
